Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Type,Date,Number of the Month,Number of the Day,Number of the Year,Offset,Link to the Webflow update node,Special icon,Notes
Custom easing curves for IX,custom-easing-curves-for-interactions,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f672032,Fri Feb 21 2020 12:13:43 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2020 09:41:56 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),light-feature,Fri Nov 22 2019 00:00:00 GMT+0000 (Coordinated Universal Time),11,22,2019,,https://webflow.com/feature/custom-easing-curves-for-interactions?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=ix-custom-easing,,Set custom easing curves for each step of your interactions.
IX Easing Curves,ix-easing-curves,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671e9b,Mon Dec 02 2019 10:34:54 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 10:34:54 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Nov 22 2019 00:00:00 GMT+0000 (Coordinated Universal Time),11,22,2019,7,https://webflow.com/feature/custom-easing-curves-for-interactions?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=ix-custom-easing,,
Custom Code in Rich Text,custom-code-in-rich-text,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fb7,Mon Dec 02 2019 08:25:47 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 08:29:45 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Thu Nov 21 2019 00:00:00 GMT+0000 (Coordinated Universal Time),11,21,2019,8,https://webflow.com/feature/custom-code-in-rich-text-elements?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=custom-code-rte,https://uploads-ssl.webflow.com/66b30b0082f3bdff5f671e51/66b30b0082f3bdff5f6720ee_programming-language-html-5.svg,
PayPal Checkout,paypal-checkout,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fc8,Mon Dec 02 2019 08:24:09 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 08:27:46 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Sat Oct 05 2019 00:00:00 GMT+0000 (Coordinated Universal Time),10,5,2019,5,https://webflow.com/blog/paypal-for-ecommerce?utm_source=webflow-update?utm_medium=sybg?utm_campaign=paypal-checkout-launch,https://uploads-ssl.webflow.com/66b30b0082f3bdff5f671e51/66b30b0082f3bdff5f6720ed_logo%20paypal.svg,
Custom Checkbox & Radio,custom-checkbox-and-radio,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fb2,Mon Dec 02 2019 08:22:48 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2020 09:43:09 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Wed Sep 25 2019 00:00:00 GMT+0000 (Coordinated Universal Time),9,25,2019,3,https://webflow.com/feature/customize-form-checkboxes-and-radio-buttons,https://uploads-ssl.webflow.com/66b30b0082f3bdff5f671e51/66b30b0082f3bdff5f6720ea_Check%205.svg,
Prdct. Variant Im. galleries,product-variant-image-galleries,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fd7,Mon Dec 02 2019 08:21:12 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2020 09:41:25 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Thu Sep 19 2019 00:00:00 GMT+0000 (Coordinated Universal Time),9,19,2019,2,https://webflow.com/feature/showcase-unique-image-galleries-per-product-variant,https://uploads-ssl.webflow.com/66b30b0082f3bdff5f671e51/66b30b0082f3bdff5f6720ec_Art%20Gallery%201.svg,
Lottie animations support,lottie-animations-support,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fd3,Fri Sep 06 2019 13:58:47 GMT+0000 (Coordinated Universal Time),Fri Sep 06 2019 13:59:46 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),major-feature,Thu Sep 05 2019 00:00:00 GMT+0000 (Coordinated Universal Time),9,5,2019,1,https://webflow.com/blog/after-effects-and-lottie-meet-webflow,https://uploads-ssl.webflow.com/66b30b0082f3bdff5f671e51/66b30b0082f3bdff5f672110_Happy%20Smiley%20Very.svg,
Connection Manager,connection-manager,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f90,Fri Aug 30 2019 19:08:39 GMT+0000 (Coordinated Universal Time),Fri Aug 30 2019 19:09:38 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Mon Jul 29 2019 00:00:00 GMT+0000 (Coordinated Universal Time),7,29,2019,8,https://webflow.com/feature/quickly-find-and-view-cms-connected-pages-and-elements?utm_source=webflow-update&utm_medium=sybg&utm_campaign=connections-manager-updates,,
No-Code Conference,no-code-conference,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f96,Thu Aug 08 2019 16:03:21 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 08:28:33 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),event,Tue Nov 12 2019 00:00:00 GMT+0000 (Coordinated Universal Time),11,12,2019,6,,,
No-Code Con Announced,no-code-con-announced,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fad,Thu Aug 08 2019 16:02:08 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 16:02:08 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),announcement,Thu Aug 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),8,1,2019,6,,,
